epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
63,7606.74,1.69015,1.92729,0.01095,0.52352,0.29953,0.31711,0.1932,1.72988,1.49172,0.00521,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,7726.07,1.6882,1.90219,0.01109,0.59447,0.30581,0.31568,0.19202,1.72899,1.49876,0.00519,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,7845.27,1.69643,1.88861,0.01082,0.60233,0.30525,0.31678,0.19189,1.73306,1.50839,0.0052,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,7964.28,1.69082,1.9114,0.01133,0.59525,0.30698,0.32066,0.1945,1.72969,1.49845,0.00518,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,8083.82,1.68918,1.87711,0.01094,0.60077,0.30776,0.32139,0.19471,1.72775,1.49876,0.00516,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,8202.87,1.68199,1.88182,0.01095,0.60946,0.30857,0.3233,0.19586,1.72236,1.48952,0.00513,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,8322.48,1.69686,1.88246,0.01086,0.61222,0.3084,0.32408,0.197,1.71963,1.48903,0.00512,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,8442.28,1.69695,1.85577,0.01085,0.60812,0.3115,0.32593,0.19722,1.71924,1.49586,0.00511,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,8561.43,1.68836,1.8703,0.01089,0.51499,0.32556,0.32628,0.19895,1.71602,1.48641,0.00511,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,8680.71,1.6755,1.85356,0.01095,0.50922,0.33352,0.32823,0.20098,1.71368,1.48155,0.0051,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,8800.06,1.66729,1.87004,0.01076,0.48483,0.34103,0.33097,0.20261,1.7112,1.48129,0.00509,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,8919.48,1.6869,1.85171,0.01083,0.48238,0.34184,0.33446,0.20518,1.71012,1.4774,0.00508,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,9038.98,1.69707,1.85835,0.01067,0.50759,0.3387,0.33522,0.20548,1.7102,1.47478,0.00507,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,9158.15,1.6719,1.83882,0.01083,0.52516,0.34227,0.33747,0.20753,1.70882,1.46787,0.00506,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,9277.79,1.68455,1.84054,0.01058,0.52758,0.34251,0.34094,0.20921,1.70705,1.46066,0.00505,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,9397.23,1.6805,1.85038,0.0108,0.52783,0.33914,0.34265,0.21048,1.70638,1.45553,0.00505,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,9516.55,1.67785,1.83161,0.01075,0.53794,0.33906,0.34417,0.21169,1.70398,1.44979,0.00505,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,9635.65,1.67289,1.83647,0.01064,0.54546,0.3394,0.34553,0.21237,1.70243,1.4455,0.00503,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,9755.39,1.67568,1.79777,0.01052,0.56091,0.33521,0.34551,0.21273,1.69998,1.4433,0.00502,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,9874.72,1.66905,1.82025,0.01051,0.55853,0.33802,0.34734,0.21376,1.69763,1.44066,0.00502,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,9993.95,1.66524,1.82282,0.01087,0.55426,0.33698,0.34968,0.21488,1.69589,1.44001,0.00501,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,10113.5,1.67695,1.79842,0.0105,0.54569,0.33952,0.35085,0.21565,1.69356,1.44015,0.005,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,10233,1.65067,1.81779,0.01059,0.53804,0.34246,0.35176,0.21649,1.6918,1.43769,0.005,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,10352.5,1.66541,1.81059,0.01047,0.54616,0.34279,0.35268,0.21693,1.68963,1.43603,0.00499,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,10471.9,1.66383,1.78273,0.01065,0.53729,0.34659,0.35475,0.21836,1.68855,1.43472,0.00498,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,10591.1,1.63495,1.77745,0.0105,0.5319,0.34499,0.35579,0.21941,1.68706,1.43201,0.00496,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,10710.7,1.67207,1.77567,0.01055,0.52914,0.35294,0.35636,0.21982,1.68693,1.43028,0.00495,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,10830.2,1.64432,1.78685,0.01047,0.52686,0.3554,0.35647,0.21991,1.68368,1.42888,0.00494,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,10949.4,1.65048,1.78527,0.01049,0.52222,0.35612,0.35812,0.22156,1.68084,1.42612,0.00494,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,11068.8,1.66415,1.75915,0.01042,0.52097,0.35723,0.35901,0.22168,1.67877,1.42624,0.00493,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,11188.3,1.65913,1.76251,0.01062,0.52067,0.35673,0.35974,0.22255,1.67684,1.42304,0.00492,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
94,11308.1,1.6642,1.76773,0.01054,0.5148,0.36468,0.3608,0.22311,1.67603,1.42032,0.00491,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
95,11427.5,1.63605,1.77033,0.01036,0.52646,0.36126,0.36175,0.22433,1.67409,1.41772,0.00491,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
96,11546.8,1.64154,1.7548,0.01046,0.52462,0.36299,0.36268,0.22471,1.67294,1.41524,0.0049,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
97,11666.2,1.63764,1.76482,0.01048,0.52918,0.35892,0.36377,0.22568,1.67264,1.41175,0.0049,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
98,11785.9,1.64013,1.7694,0.0104,0.52589,0.3602,0.36481,0.22614,1.67015,1.41052,0.00489,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799
99,11904.9,1.6322,1.72822,0.01035,0.51888,0.3636,0.36582,0.22671,1.66863,1.40839,0.00488,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
100,12024.1,1.62904,1.73914,0.01047,0.52604,0.36089,0.36615,0.22726,1.66657,1.40659,0.00488,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
101,12144.1,1.65282,1.73563,0.0101,0.52301,0.36429,0.36677,0.22776,1.6664,1.4039,0.00488,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
102,12263.6,1.64109,1.72603,0.01018,0.51897,0.37284,0.36792,0.22871,1.66492,1.40184,0.00488,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667
103,12383.3,1.65445,1.76003,0.01026,0.52297,0.37237,0.36926,0.22961,1.66277,1.39909,0.00488,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
104,12502.4,1.60323,1.72155,0.01055,0.52521,0.37559,0.37009,0.23022,1.66169,1.39609,0.00487,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601
105,12621.9,1.62583,1.72441,0.01012,0.43857,0.37772,0.37057,0.23044,1.65967,1.39547,0.00485,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
106,12741.2,1.62704,1.71086,0.01029,0.43615,0.37974,0.37104,0.23103,1.65859,1.39242,0.00486,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
107,12860.7,1.64381,1.72849,0.01009,0.43903,0.37871,0.37177,0.23158,1.65694,1.39,0.00485,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
108,12980.4,1.64759,1.70963,0.01021,0.44658,0.37884,0.37247,0.23224,1.65613,1.38836,0.00484,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469
109,13100,1.63192,1.66504,0.01035,0.5334,0.37997,0.37314,0.23262,1.6539,1.38759,0.00483,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
110,13219.3,1.63802,1.69607,0.0103,0.44136,0.38253,0.37385,0.23311,1.65202,1.38642,0.00482,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403
