epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
43,3558.47,1.82865,2.17591,0.01209,0.7013,0.20166,0.22447,0.12643,1.93019,1.78774,0.00613,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,3637,1.84067,2.17571,0.01228,0.6823,0.20532,0.21944,0.12107,1.91934,1.79583,0.00616,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,3718.62,1.82121,2.19606,0.0122,0.6208,0.21538,0.2227,0.12115,1.93921,1.78587,0.00616,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,3799.59,1.81457,2.14365,0.01205,0.6939,0.21358,0.22831,0.12536,1.92336,1.75773,0.00609,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,3881.96,1.81487,2.14905,0.01231,0.6625,0.21014,0.2293,0.12623,1.92158,1.75827,0.00605,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,3962.65,1.8226,2.17625,0.01228,0.72412,0.21003,0.23641,0.13019,1.9334,1.78082,0.00607,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,4045.27,1.82917,2.14242,0.01197,0.69963,0.21715,0.23924,0.13401,1.91353,1.74424,0.00603,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,4128.88,1.81092,2.12489,0.01198,0.69126,0.21469,0.23758,0.13433,1.90581,1.74578,0.00597,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,4210.97,1.80639,2.1467,0.01236,0.73617,0.21113,0.24038,0.13526,1.90239,1.74528,0.00598,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,4292.83,1.78254,2.1209,0.01218,0.72916,0.21751,0.24023,0.13423,1.89933,1.73266,0.00596,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,4375.08,1.80383,2.0937,0.01207,0.6216,0.2389,0.24631,0.13643,1.88652,1.71333,0.00592,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,4457.46,1.80169,2.0968,0.01165,0.58714,0.24043,0.24928,0.13843,1.88877,1.7016,0.00589,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
